epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,912.595,1.24299,0.94578,0.00146,0.60569,0.51856,0.55489,0.39944,1.0693,0.7079,0.00195,0.0099959,0.00333197,0.0099959,0.00333197,0.0099959,0.00333197,0.0099959,0.00333197
2,1597.25,1.24206,0.91843,0.00145,0.61303,0.47459,0.5444,0.38911,1.09412,0.74077,0.00202,0.0199957,0.00666523,0.0199957,0.00666523,0.0199957,0.00666523,0.0199957,0.00666523
3,2215.66,1.28791,0.99043,0.00153,0.61886,0.47329,0.52165,0.37284,1.12343,0.78706,0.00209,0.0299947,0.00999824,0.0299947,0.00999824,0.0299947,0.00999824,0.0299947,0.00999824
4,2808.86,1.31456,1.01547,0.00156,0.62816,0.52074,0.57053,0.40441,1.10248,0.72526,0.00205,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912
5,3403.57,1.28009,0.94827,0.00153,0.66562,0.54116,0.60325,0.43358,1.07977,0.65838,0.00199,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844
6,4019.95,1.2606,0.90496,0.0015,0.69253,0.54858,0.65656,0.48313,1.05019,0.62231,0.00193,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
7,4657.21,1.24293,0.86946,0.00146,0.67561,0.59168,0.66256,0.48667,1.04752,0.59969,0.00193,0.0299894,0.00999648,0.0299894,0.00999648,0.0299894,0.00999648,0.0299894,0.00999648
8,5273.69,1.23345,0.85073,0.00146,0.73347,0.58027,0.699,0.51325,1.03725,0.59336,0.00191,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521
9,5870.33,1.22081,0.82779,0.00144,0.69927,0.64813,0.71559,0.52938,1.0146,0.56286,0.00185,0.0299812,0.00999375,0.0299812,0.00999375,0.0299812,0.00999375,0.0299812,0.00999375
10,6465.93,1.212,0.81403,0.00143,0.71627,0.62678,0.73326,0.53868,1.01426,0.54135,0.00184,0.0299763,0.00999209,0.0299763,0.00999209,0.0299763,0.00999209,0.0299763,0.00999209
11,7061.82,1.20247,0.79608,0.00141,0.76915,0.63545,0.73898,0.55327,1.00145,0.52651,0.00182,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
12,7656.2,1.19963,0.78984,0.00141,0.7029,0.68585,0.76031,0.56936,0.9925,0.51292,0.0018,0.0299645,0.00998818,0.0299645,0.00998818,0.0299645,0.00998818,0.0299645,0.00998818
13,8250.11,1.18838,0.77588,0.00139,0.72023,0.69417,0.78099,0.58566,0.98509,0.51719,0.00179,0.0299578,0.00998594,0.0299578,0.00998594,0.0299578,0.00998594,0.0299578,0.00998594
14,8845.16,1.19042,0.77067,0.00139,0.81046,0.65237,0.7741,0.58384,0.98095,0.49982,0.00178,0.0299505,0.0099835,0.0299505,0.0099835,0.0299505,0.0099835,0.0299505,0.0099835
15,9440.47,1.17956,0.75835,0.00138,0.71466,0.71506,0.78226,0.58666,0.97832,0.49654,0.00177,0.0299426,0.00998086,0.0299426,0.00998086,0.0299426,0.00998086,0.0299426,0.00998086
16,10092.6,1.17478,0.74937,0.00138,0.75847,0.69989,0.79049,0.59438,0.97092,0.48923,0.00175,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
