epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,608.731,1.47621,3.24687,0.00177,0.52954,0.31833,0.33313,0.23299,1.18571,1.03216,0.00214,0.0099959,0.00333197,0.0099959,0.00333197,0.0766762,0.0700123,0.0099959,0.00333197
2,1150.45,1.45989,1.18462,0.00174,0.60152,0.40722,0.46406,0.31558,1.22757,0.89021,0.00226,0.0196,0.00653333,0.0196,0.00653333,0.052947,0.0398803,0.0196,0.00653333
3,1670.99,1.47366,1.18395,0.00177,0.59952,0.41592,0.47489,0.32221,1.22089,0.92771,0.00224,0.0288081,0.00960269,0.0288081,0.00960269,0.0288217,0.00961635,0.0288081,0.00960269
4,2184.73,1.45618,1.16633,0.00176,0.65327,0.45695,0.55624,0.38539,1.17518,0.79974,0.00216,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2696.78,1.39752,1.03199,0.00166,0.61906,0.54335,0.60991,0.42702,1.12689,0.71949,0.00207,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3209.35,1.35925,0.95827,0.00161,0.71964,0.52134,0.64463,0.46054,1.0936,0.66885,0.00199,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,3721.74,1.33068,0.89964,0.00157,0.67463,0.58567,0.69341,0.4953,1.07221,0.63784,0.00195,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,4261.79,1.31431,0.86813,0.00154,0.70929,0.61471,0.69696,0.5058,1.05047,0.59962,0.0019,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,4821.57,1.2989,0.83524,0.00152,0.66704,0.66306,0.72364,0.52924,1.03955,0.57955,0.00187,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,5378.48,1.28528,0.81145,0.00151,0.74199,0.63826,0.75212,0.54172,1.03122,0.55446,0.00186,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,5886.35,1.27604,0.7919,0.00149,0.73706,0.63642,0.74762,0.55087,1.01789,0.531,0.00183,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,6392.54,1.26993,0.76804,0.00149,0.72018,0.69536,0.77016,0.57127,1.0062,0.52124,0.00181,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,6899.45,1.26464,0.7487,0.00147,0.73456,0.68555,0.78162,0.57846,0.99544,0.49921,0.00178,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,7405.17,1.24769,0.73504,0.00145,0.73571,0.71377,0.79094,0.5894,0.98821,0.49511,0.00176,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,7911.03,1.24682,0.72404,0.00145,0.68789,0.77178,0.80488,0.59874,0.98027,0.48176,0.00174,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,8416.67,1.23869,0.70636,0.00143,0.79091,0.74458,0.82719,0.61361,0.97643,0.46868,0.00174,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,8922.82,1.22884,0.68614,0.00142,0.7677,0.76615,0.82924,0.61524,0.96822,0.46318,0.00172,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,9429.43,1.21794,0.67426,0.00141,0.79906,0.74338,0.83486,0.6238,0.96333,0.4546,0.00171,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,9934.84,1.21557,0.67241,0.0014,0.78753,0.74222,0.83503,0.62751,0.96139,0.45011,0.0017,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,10440.6,1.20285,0.64023,0.00138,0.78993,0.76139,0.84542,0.63427,0.95318,0.44303,0.00169,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,10946.7,1.20152,0.6425,0.00138,0.75259,0.79293,0.85,0.64028,0.95029,0.43897,0.00168,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,11452.1,1.18159,0.61787,0.00136,0.83622,0.7709,0.86653,0.65548,0.94593,0.43164,0.00167,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,11958,1.17464,0.60275,0.00135,0.82927,0.77046,0.86695,0.65541,0.94392,0.42653,0.00167,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,12462.4,1.17278,0.59789,0.00135,0.83321,0.7765,0.87307,0.66234,0.94037,0.41976,0.00166,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,12968.1,1.15944,0.58434,0.00133,0.84888,0.78707,0.88103,0.66846,0.93732,0.41657,0.00166,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,13473.5,1.1562,0.57196,0.00132,0.87462,0.77704,0.88479,0.67293,0.9346,0.41299,0.00165,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,13978.9,1.14664,0.5622,0.0013,0.87144,0.78892,0.88945,0.67726,0.93358,0.40975,0.00165,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,14484.1,1.13564,0.55295,0.0013,0.87266,0.79204,0.89144,0.67788,0.93241,0.40576,0.00165,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,15009,1.12014,0.5376,0.00128,0.86997,0.79819,0.8976,0.68359,0.93177,0.4037,0.00164,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,15514.6,1.11134,0.52971,0.00127,0.86266,0.80548,0.89855,0.68466,0.92997,0.40167,0.00164,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,16021.4,1.10968,0.51635,0.00126,0.86365,0.80535,0.89957,0.68498,0.92848,0.39984,0.00164,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,16526.6,1.09484,0.50534,0.00125,0.86562,0.80344,0.90255,0.6862,0.9276,0.39729,0.00164,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,17032.3,1.08718,0.49915,0.00122,0.8672,0.80014,0.90316,0.68723,0.92605,0.396,0.00163,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,17545.8,1.07239,0.4831,0.00122,0.79248,0.86573,0.90407,0.68878,0.92434,0.3944,0.00163,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,18051.4,1.07012,0.4754,0.00121,0.79829,0.86616,0.90695,0.69044,0.92223,0.39228,0.00163,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,18556.8,1.06136,0.46414,0.00119,0.80213,0.86816,0.90847,0.69256,0.91979,0.39032,0.00162,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,19062.5,1.05056,0.45619,0.00119,0.8063,0.87556,0.90968,0.69281,0.91902,0.38683,0.00162,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,19568,1.03808,0.44746,0.00116,0.8069,0.87585,0.91113,0.69474,0.91765,0.38434,0.00162,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,20073.6,1.03092,0.43831,0.00115,0.80876,0.87692,0.91106,0.69561,0.91689,0.38247,0.00162,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,20579,1.01689,0.42743,0.00114,0.81495,0.87272,0.91273,0.6977,0.91562,0.38008,0.00162,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,21087,0.97109,0.37505,0.00122,0.81962,0.86861,0.9134,0.69726,0.91459,0.37885,0.00161,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,21591.8,0.95708,0.36302,0.0012,0.82198,0.87221,0.91983,0.70185,0.91333,0.37722,0.00161,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
