epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,418.841,1.28682,2.86018,0.87055,0.61707,0.27021,0.30999,0.20962,1.05303,0.97247,0.8524,0.00999385,0.00333128,0.00999385,0.00333128,0.00999385,0.00333128,0.00999385,0.00333128
2,809.438,1.21421,1.1197,0.85747,0.60743,0.31531,0.37982,0.25297,1.05095,0.95419,0.85529,0.0192021,0.0064007,0.0192021,0.0064007,0.0192021,0.0064007,0.0192021,0.0064007
3,1240.6,1.24908,1.12368,0.8636,0.63578,0.35361,0.44098,0.29627,1.05021,0.89721,0.85711,0.0276183,0.00920611,0.0276183,0.00920611,0.0276183,0.00920611,0.0276183,0.00920611
4,1700.15,1.19307,1.02261,0.85603,0.53936,0.45886,0.49091,0.33551,1.00464,0.82374,0.84869,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
5,2155.06,1.13984,0.9168,0.84604,0.64242,0.51092,0.59544,0.42214,0.9636,0.74311,0.84065,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
6,2600.11,1.09668,0.85212,0.8393,0.63768,0.5717,0.65074,0.46138,0.94086,0.67024,0.83692,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
7,3043.08,1.07098,0.80687,0.8343,0.63713,0.59888,0.66483,0.4774,0.91731,0.65322,0.8336,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
8,3424.88,1.05317,0.77071,0.83272,0.66715,0.64886,0.70965,0.50493,0.9049,0.61263,0.83182,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
9,3804.15,1.03095,0.74079,0.82984,0.73268,0.58668,0.72016,0.51709,0.88968,0.59436,0.82861,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
10,4183.25,1.01451,0.71279,0.82929,0.69474,0.69225,0.73825,0.5322,0.87744,0.56526,0.82703,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
11,4562.32,1.00489,0.69609,0.82617,0.71958,0.66405,0.75162,0.54462,0.8646,0.54473,0.82493,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
12,4949.48,0.98953,0.67408,0.82296,0.72767,0.70834,0.76911,0.55927,0.86105,0.53512,0.82317,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
13,5378.35,0.97975,0.65346,0.82368,0.77822,0.6831,0.77748,0.57254,0.84861,0.52308,0.82161,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
14,5800.31,0.96993,0.63733,0.82246,0.78162,0.70347,0.80959,0.59474,0.83883,0.50805,0.82071,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
15,6219.35,0.95929,0.61915,0.81998,0.77673,0.7008,0.8076,0.59327,0.8323,0.49607,0.81998,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
16,6647.27,0.93299,0.59226,0.82699,0.73485,0.76755,0.82151,0.60636,0.83406,0.49527,0.82034,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
17,7099.37,0.92168,0.5753,0.82453,0.7664,0.74686,0.82131,0.60395,0.82925,0.48634,0.81933,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
18,7528.09,0.91151,0.55999,0.82256,0.74158,0.78283,0.82171,0.61003,0.82117,0.47922,0.8185,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
19,422.6,0.92225,0.56692,0.81474,0.78122,0.77441,0.83872,0.61989,0.81474,0.46737,0.8167,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
20,856.175,0.91007,0.5466,0.81411,0.75873,0.80288,0.8464,0.62847,0.81393,0.46146,0.81625,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
21,1261.4,0.89898,0.53532,0.81193,0.8024,0.80341,0.85409,0.63318,0.81083,0.45494,0.81546,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
22,1700.23,0.88391,0.51872,0.81092,0.79519,0.81283,0.86345,0.64014,0.80947,0.45041,0.81507,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
23,2133.66,0.87834,0.50365,0.80918,0.82872,0.78591,0.86264,0.63962,0.80738,0.44832,0.81459,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
24,2571.7,0.86204,0.48925,0.80726,0.84444,0.77445,0.86423,0.64147,0.80545,0.44681,0.8143,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
25,2986.6,0.85135,0.47255,0.80522,0.83636,0.7917,0.87331,0.6509,0.80396,0.44441,0.8141,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
